origin_id,origin_name,district_id,district_name,latitude,longitude,distance_to_nearest_stop_m,stop_density,stop_density_1km,population,population_density,num_healthcare_facilities,healthcare_density_1km,distance_to_city_center_km,urban_ring,interaction_stop_pop_density,interaction_fac_pop,analysis_unit,accessibility_score,score_2sfca
0,Hôpital Ibn Tofail,,,31.634836599999996,-7.9920499,252.75896119805256,10.185916357881302,22.0,0.0,0.0,4.0,1.2732395447351628,0.24941671573661417,Inner,0.0,0.0,facility_proxy,0.66,
1,Hôpital Mohammed VI,,,31.6475502,-8.0153607,228.0093821752856,5.092958178940651,10.0,0.0,0.0,3.0,0.954929658551372,2.802388183254642,Inner,0.0,0.0,facility_proxy,0.44333333333333336,
2,Clinique Internationale de Marrakech,,,31.6392188,-7.981239799999999,21.19619597195585,12.732395447351628,22.0,0.0,0.0,3.0,0.954929658551372,1.216194156254821,Inner,0.0,0.0,facility_proxy,0.8966666666666667,
3,Polyclinique du Sud,,,31.6224531,-7.978078400000001,84.01265120001185,6.366197723675814,18.0,0.0,0.0,3.0,0.954929658551372,1.7013399124652837,Inner,0.0,0.0,facility_proxy,0.6699999999999999,
4,Clinique Les Deux Palmiers,,,31.630731499999996,-7.992921199999999,152.37455534540308,8.91267681314614,27.0,0.0,0.0,5.0,1.5915494309189535,0.2505323748244404,Inner,0.0,0.0,facility_proxy,0.775,
5,Hôpital Al Antaki,,,31.625011799999992,-8.0011679,62.19234324395817,5.092958178940651,19.0,0.0,0.0,3.0,0.954929658551372,1.2470751149404218,Inner,0.0,0.0,facility_proxy,0.6333333333333333,
6,Clinique Assila,,,31.641659200000007,-7.975206999999999,91.85424119384372,10.185916357881302,20.0,0.0,0.0,2.0,0.6366197723675814,1.8405791590155771,Inner,0.0,0.0,facility_proxy,0.6900000000000001,
7,Clinique Dar Salam,,,31.619799300000004,-7.982030399999999,219.72977147606218,3.819718634205488,20.0,0.0,0.0,3.0,0.954929658551372,1.6826937339497132,Inner,0.0,0.0,facility_proxy,0.4066666666666666,
8,Hôpital Militaire Avicenne,,,31.650622600000005,-7.9939644,78.66256822439473,6.366197723675814,10.0,0.0,0.0,1.0,0.3183098861837907,2.0074063460114906,Inner,0.0,0.0,facility_proxy,0.53,
9,Polyclinique CNSS Marrakech,,,31.6316566,-7.970761,225.66055594499295,10.185916357881302,18.0,0.0,0.0,3.0,0.954929658551372,1.969862937606076,Inner,0.0,0.0,facility_proxy,0.62,
10,Clinique du Palmier,,,31.6374349,-8.0033112,142.96717713468288,5.092958178940651,8.0,0.0,0.0,2.0,0.6366197723675814,1.240072863093947,Inner,0.0,0.0,facility_proxy,0.5033333333333333,
11,Centre de Santé Daoudiate,,,31.64024149999999,-8.0218671,173.14520891226866,3.819718634205488,7.0,0.0,0.0,1.0,0.3183098861837907,3.0008074266666713,Inner,0.0,0.0,facility_proxy,0.30666666666666664,
12,Clinique Al Kawtar,,,31.626143300000003,-7.994380400000001,56.73044707805233,10.185916357881302,33.0,0.0,0.0,5.0,1.5915494309189535,0.7698662985540355,Inner,0.0,0.0,facility_proxy,0.915,
13,Centre de Santé Médina,,,31.625356500000002,-7.989119699999999,168.08281527505414,19.098593171027442,35.0,0.0,0.0,4.0,1.2732395447351628,0.8379336462175672,Inner,0.0,0.0,facility_proxy,0.8200000000000001,
14,Clinique Yasmine,,,31.618785,-7.969477599999999,50.754903829445354,7.639437268410976,14.0,0.0,0.0,2.0,0.6366197723675814,2.5923476962911485,Inner,0.0,0.0,facility_proxy,0.71,
15,Hôpital Privé de Marrakech,,,31.6519428,-7.979821599999999,210.38081903542846,3.819718634205488,10.0,0.0,0.0,1.0,0.3183098861837907,2.409647788810771,Inner,0.0,0.0,facility_proxy,0.27666666666666667,
16,Centre de Santé Gueliz,,,31.63911740000001,-7.9894613,263.91070212199674,11.459155902616464,23.0,0.0,0.0,4.0,1.2732395447351628,0.7439633093383818,Inner,0.0,0.0,facility_proxy,0.6733333333333333,
17,Clinique Al Farabi,,,31.613771199999995,-8.0030878,66.13027837163533,2.5464790894703255,11.0,0.0,0.0,1.0,0.3183098861837907,2.362442657523615,Inner,0.0,0.0,facility_proxy,0.3466666666666667,
